"","Character","Occupation","Category"
"1970","Phil Gordon","American professional poker player, commentator and author","Athlete"
"1971","Phil Graham","American newspaper publisher","Writer"
"1972","Phil Robertson","American professional hunter, businessman, and reality television star on the popular television series Duck Dynasty","Reality TV Star"
"1973","Phil Simms","former American football quarterback who spent his entire 14-year professional career playing for the New York Giants of the National Football League (NFL)","Athlete"
"1974","Phil Spector","American record producer, musician, songwriter, and businessman who developed the Wall of Sound","Musical Entertainer"
"1975","Philip Seymour Hoffman","American actor, director, and producer of film and theater","Acting Entertainer"
"1976","Phyllis George","American businesswoman, actress, and former sportscaster","Acting Entertainer"
"1977","Picabo Street","American former World Cup alpine ski racer and Olympic gold medalist","Athlete"
"1978","Pierre du Pont IV","American lawyer and politician","U.S. Politician"
"1979","Piers Morgan","British journalist and television personality currently working as the US editor-at-large for Mail Online and as a presenter on British breakfast show Good Morning Britain","News Entertainer"
"1980","Pink","American singer, songwriter, dancer, and actress","Musical / Acting Entertainer"
"1981","Pippa Middleton","English socialite, author, columnist, and the younger sister of Catherine, Duchess of Cambridge","British Royal Family"
"1982","Pitbull","American rapper","Musical Entertainer"
"1983","Plaxico Burress","former American football wide receiver","Athlete"
"1984","Pol Pot","Cambodian politician and revolutionary who led the Khmer Rouge from 1963 to 1997.","Non-U.S. Politician"
"1985","Polly Bergen","American actress, singer, television host, writer, and entrepreneur","Musical / Acting Entertainer"
"1986","Pope Benedict XVI","Reigned as Pope of the Catholic Church from 2005 - 2013","Religious Figure"
"1987","Pope Francis"," 266th and current Pope of the Roman Catholic Church, a title he holds ex officio as Bishop of Rome, and sovereign of Vatican City","Religious Figure"
"1988","Pope John Paul II","Reigned as Pope of the Catholic Church from 1978 - 2005","Religious Figure"
"1989","Prince","American singer-songwriter, multi-instrumentalist, and record producer","Musical Entertainer"
"1990","Prince Albert","husband of Queen Victoria","British Royal Family"
"1991","Prince Andrew","Duke of York, second son and third child of Queen Elizabeth II and Prince Philip, Duke of Edinburgh.","British Royal Family"
"1992","Prince Charles","Prince of Wales, is the eldest child and heir apparent of Queen Elizabeth II","British Royal Family"
"1993","Prince Harry","The younger son of Charles, Prince of Wales and Diana, Princess of Wales","British Royal Family"
"1994","Prince Johannes","prince of the House of Saxe-Coburg and Gotha-Kohary and the last holder of Csabrag and Szitnya, both in modern-day Slovakia.","British Royal Family"
"1995","Prince Philip","Duke of Edinburgh, the husband of Queen Elizabeth II","British Royal Family"
"1996","Prince William","Duke of Cambridge, the elder son of Charles, Prince of Wales, and Diana, Princess of Wales","British Royal Family"
"1997","Princess Di","First wife of Charles, Prince of Wales, who is the eldest child and heir apparent of Queen Elizabeth II","British Royal Family"
"1998","Princess Gloria of Thurn and Taxis","German businesswoman, manager, artist and member, by marriage, of the German princely House of Thurn and Taxis","British Royal Family"
"1999","Psy","South Korean singer, rapper, songwriter, and record producer, most commonly known internationally for his viral music video for the song ""Gangnam Style""","Musical / Acting Entertainer"
"2000","Puff Daddy","American rapper, singer, songwriter, actor, record producer and entrepreneur","Musical / Acting Entertainer"
"2001","Queen Elizabeth","Queen of the United Kingdom, Canada, Australia, and New Zealand since February 6, 1952","British Royal Family"
"2002","Queen Latifah","American rapper, songwriter, singer, actress, model, television producer, record producer, and talk show host","Musical / Acting Entertainer"
"2003","Quentin Tarantino","American director, writer, and actor","Acting Entertainer"
"2004","Quincy Jones","American record producer, conductor, arranger, composer, musician, television producer, film producer, instrumentalist, magazine founder, entertainment company executive, and humanitarian","Musical / Acting Entertainer"
"2005","Quvenzhané Wallis","American child actress","Acting Entertainer"
"2006","R. Kelly","American singer, songwriter, record producer, and former professional basketball player","Musical Entertainer"
"2007","Rachael Ray","American television personality, businesswoman, celebrity cook and author","Other Entertainer"
"2008","Rachel Dolezal","American civil rights activist and former Africana studies instructor","other"
"2009","Rachel Federoff","actress, best known for Bravo's ""The Millionaire Matchmaker""","Acting Entertainer"
"2010","Rachel Maddow","American television host, political commentator, and author","News Entertainer"
"2011","Rahm Emanuel","American politician who is the 44th mayor of Chicago","U.S. Politician"
"2012","Rainbow Head","best known as a fixture in American sports culture for wearing a rainbow-colored afro-style wig at stadium sporting events. Now serving 3 life sentences on kidnapping charges","Criminal"
"2013","Raisa Gorbachev","wife of Soviet leader Mikhail Gorbachev","other"
"2014","Rajinikanth","Indian film actor who works primarily in Tamil cinema","Acting Entertainer"
"2015","Ralph Lauren","American fashion designer, philanthropist, and business executive, best known for the Ralph Lauren Corporation, a global multibillion-dollar enterprise","Fashion Industry"
"2016","Ralph Nader","American political activist, author, lecturer, and attorney, noted for his involvement in consumer protection, environmentalism, and government reform causes","Law Professional"
"2017","Rand Paul","American politician and physician","U.S. Politician"
"2018","Randolph Hearst","American newspaper publisher who built the nation's largest newspaper chain and media company Hearst Communications ","News Entertainer"
"2019","Randy Jackson","American bassist, singer, record producer, entrepreneur and television personality","Musical / Acting Entertainer"
"2020","Randy Newman","American singer-songwriter, arranger, composer, and pianist who is known for his distinctive voice, mordant (and often satirical) pop songs, and for film scores","Musical Entertainer"
"2021","Randy Travis","American country music singer, songwriter, guitarist, and actor","Musical / Acting Entertainer"
"2022","Raúl Castro","Cuban politician, who has been President of the Council of State of Cuba and the President of the Council of Ministers of Cuba since 2008","Non-U.S. Politician"
"2023","Raven-Symoné","American actress, singer, songwriter, comedienne, television personality, and producer","Musical / Acting Entertainer"
"2024","Ravi Shankar","Indian musician and a composer of Hindustani classical music","Musical Entertainer"
"2025","Ray Combs","American comedian, actor, and game show host","Acting Entertainer"
"2026","Ray Lewis","former American football linebacker who played his entire 17-year career for the Baltimore Ravens of the National Football League (NFL)","Athlete"
"2027","Ray Nagin","previously served as the 60th mayor of New Orleans, Louisiana. Became internationally known in 2005 in the aftermath of Hurricane Katrina","U.S. Politician"
"2028","Ray Parker Jr.","American musician-guitarist, singer-songwriter, producer and actor","Musical / Acting Entertainer"
"2029","Ray Romano","American stand-up comedian, actor and screenwriter","Acting Entertainer"
"2030","Raymond Burr","Canadian-American actor, primarily known for his title roles in the television dramas Perry Mason and Ironside","Acting Entertainer"
"2031","Raymond Munns","former MTV VJ and Trance DJ","News Entertainer"
"2032","Reba McEntire","American singer, songwriter, actress and record producer","Musical / Acting Entertainer"
"2033","Rebecca DeWitt","former Associate Director, ACLU","Law Professional"
"2034","Rebel Wilson","Australian stand-up comedian, actress and writer","Acting Entertainer"
"2035","Red Skelton","American entertainer","Other Entertainer"
"2036","Red West","American actor, film stuntman and songwriter","Musical / Acting Entertainer"
"2037","Redfoo","American rapper, dancer, record producer, DJ and singer best known as part of the musical duo LMFAO","Musical Entertainer"
"2038","Redman","American rapper, DJ, record producer, and actor","Musical / Acting Entertainer"
"2039","Reggie White","professional American football player who was a defensive end in the National Football League (NFL) for 15 seasons during the 1980s and 1990s","Athlete"
"2040","Reginald VelJohnson","American actor and comedian","Acting Entertainer"
"2041","Regis Philbin","American media personality, actor, and singer, known for hosting talk and game shows since the 1960s","News Entertainer"
"2042","Rene Angelil","Canadian musical producer, talent manager and singer","Musical / Acting Entertainer"
"2043","Renee Zellweger","American actress and producer","Acting Entertainer"
"2044","Rex Reed","American film critic and former co-host of the syndicated television show At the Movies","News Entertainer"
"2045","Rex Tillerson","American businessman, engineer, and diplomat who is the 69th and current United States Secretary of State","U.S. Politician"
"2046","Rhonda Byrne","Australian TV writer and producer, author of New Thought Books","Acting Entertainer"
"2047","Ric Flair","American professional wrestling manager and retired professional wrestler signed to WWE under its Legends program","Athlete"
"2048","Ricardo Montalban","Mexican actor","Acting Entertainer"
"2049","Rich Little","Canadian-American impressionist and voice actor, nicknamed ""The Man of a Thousand Voices"" by voice actor Mel Blanc","Acting Entertainer"
"2050","Richard Allen","US National Security Advisor to President Ronald Reagan and Reagan's chief foreign policy advisor","U.S. Politician"
"2051","Richard Armey","American politician","U.S. Politician"
"2052","Richard B. Myers","retired four-star general in the United States Air Force and served as the 15th Chairman of the Joint Chiefs of Staff","other"
"2053","Richard Ben-Veniste","American lawyer","Law Professional"
"2054","Richard Branson","English business magnate, investor and philanthropist","Business Leader"
"2055","Richard Burton","Welsh actor noted for his mellifluous baritone voice","Acting Entertainer"
"2056","Richard Chamberlain","American stage and screen actor and singer","Musical / Acting Entertainer"
"2057","Richard Clarke","Former National Coordinator for Security, Infrastructure Protection and Counter-terrorism for the US","U.S. Politician"
"2058","Richard Daley","Former mayor of Chicago","U.S. Politician"
"2059","Richard Dawson","British-American actor and comedian, and a game show host and panelist in the United States","Acting Entertainer"
"2060","Richard Donner","American film director and producer","Acting Entertainer"
"2061","Richard Dreyfuss","American actor","Acting Entertainer"
"2062","Richard Fairbrass","English singer, bassist and TV presenter, best known as lead singer of the pop group Right Said Fred, which spawned a huge hit in the 1990s with the single ""I'm Too Sexy""","Musical Entertainer"
"2063","Richard Fuld","American banker best known as the final Chairman and Chief Executive Officer of Lehman Brothers","Business Leader"
"2064","Richard Gephardt","American politician who served as a United States Representative from Missouri from 1977 to 2005","U.S. Politician"
"2065","Richard Harrison","businessman, reality TV personality, best known for History Channel series ""Pawn Stars""","Reality TV Star"
"2066","Richard Lewis","American stand-up comedian and actor","Acting Entertainer"
"2067","Richard Lugar","American politician and member of the Republican Party who served as a United States senator, representing Indiana from 1977 to 2013","U.S. Politician"
"2068","Richard Nixon","American politician who served as the 37th President of the United States from 1969 until 1974, when he became the only U.S. president to resign from office","U.S. Politician"
"2069","Richard Pryor","American stand-up comedian, social critic, and actor","Acting Entertainer"
"2070","Richard Secord","United States Air Force officer with a notable career in covert operations","other"
"2071","Richard Shelby","senior United States Senator from Alabama","U.S. Politician"
"2072","Richard Sherman","American football cornerback for the Seattle Seahawks of the NFL","Athlete"
"2073","Richard Simmons","American fitness guru, actor, and comedian","Acting Entertainer"
"2074","Richard Williams","American tennis coach and father of Venus and Serena Williams","Athlete"
"2075","Richard Wolffe","liberal British-American journalist, MSNBC commentator, and author","News Entertainer"
"2076","Richie Sambora","American rock guitarist, producer, singer and songwriter, best known as the lead guitarist of the rock band Bon Jovi for 30 years","Musical / Acting Entertainer"
"2077","Rick Dees","American entertainer, radio personality, comedian, actor, and voice artist, best known for his internationally syndicated radio show The Rick Dees Weekly Top 40 Countdown","News Entertainer"
"2078","Rick Harrison","American, Las Vegas-based businessman and reality television personality, best known from the History Channel series Pawn Stars","Reality TV Star"
"2079","Rick James","American musician, composer and actor","Musical / Acting Entertainer"
"2080","Rick Lazio","former four term U.S. Representative from the State of New York","U.S. Politician"
"2081","Rick Perry","American politician who served as the 47th Governor of Texas from December 2000 to January 2015","U.S. Politician"
"2082","Rick Ross","American rapper and entrepreneur","Musical Entertainer"
"2083","Rick Sanchez","Cuban-American journalist, radio host, and author","News Entertainer"
"2084","Rick Santorum","American attorney and Republican Party politician","U.S. Politician"
"2085","Rick Schroder","American actor and film director","Acting Entertainer"
"2086","Rick Springfield","Australian musician, singer, songwriter, actor and author best known by his stage name Rick Springfield","Musical / Acting Entertainer"
"2087","Rick Wagoner","American businessman and former Chairman and Chief Executive Officer of General Motors","Business Leader"
"2088","Ricki Lake","American actress, producer, and television presenter","Acting Entertainer"
"2089","Ricky Gervais","English comedian, actor, writer, producer, director, singer, and musician","Musical / Acting Entertainer"
"2090","Ricky Martin","Puerto Rican singer, actor and author","Musical / Acting Entertainer"
"2091","Rico Rodriguez","American actor, best known for playing Manny Delgado in the ABC sitcom ""Modern Family""","Acting Entertainer"
"2092","Riff Raff","American rapper from Houston, Texas","Musical Entertainer"
"2093","Rihanna","Barbadian singer, songwriter, and actress","Musical / Acting Entertainer"
"2094","Ringo Starr","English musician, singer, songwriter and actor who gained worldwide fame as the drummer for the Beatles","Musical / Acting Entertainer"
"2095","Rip Taylor","American actor and comedian","Acting Entertainer"
"2096","Rita Rudner","American comedian, writer and actress","Acting Entertainer"
"2097","Rob Ford","Canadian politician and businessman who served as the 64th mayor of Toronto from 2010 to 2014","Non-U.S. Politician"
"2098","Rob Gronkowski","American football tight end for the New England Patriots of the National Football League (NFL)","Athlete"
"2099","Rob Kardashian","American television personality and businessman","Reality TV Star"
"2100","Rob Lowe","American actor","Acting Entertainer"
"2101","Rob Reiner","American actor, writer, director, producer, and activist","Acting Entertainer"
"2102","Robb Weller","American game show host and TV personality and producer","News Entertainer"
"2103","Robbin Grider","member of band Klymaxx","Musical Entertainer"
"2104","Robert Blake","retired American actor, having starring roles in the film ""In Cold Blood"" and the U.S. television series ""Baretta""","Acting Entertainer"
"2105","Robert Bork","American judge and legal scholar who advocated the judicial philosophy of originalism","Law Professional"
"2106","Robert Byrd","United States Senator from West Virginia","U.S. Politician"
"2107","Robert Conrad","American film and television actor, singer, and stuntman","Musical / Acting Entertainer"
"2108","Robert DeNiro","American actor, producer and director who has both Italian and American citizenship","Acting Entertainer"
"2109","Robert Dornan","Republican and former member of the United States House of Representatives from California","U.S. Politician"
"2110","Robert Downey Jr.","American actor","Acting Entertainer"
"2111","Robert Durst","American real estate heir, the son of New York City mogul Seymour Durst, and the elder brother of Douglas Durst, head of the Durst Organization","Business Leader"
"2112","Robert Evans","American film producer and former studio executive, best known for his work on Rosemary's Baby, Love Story, The Godfather and Chinatown","Acting Entertainer"
"2113","Robert Fulghum","American author and Unitarian Universalist minister","Writer"
"2114","Robert Gibbs","Executive Vice President and Global Chief Communications officer of McDonald's, Inc","Business Leader"
"2115","Robert Goulet","American singer and actor of French-Canadian ancestry","Musical / Acting Entertainer"
"2116","Robert Keeshan","American television producer and actor","Acting Entertainer"
"2117","Robert Latta","water meter reader, best known for successfully entering the White House uninvited","other"
"2118","Robert McFarlane","National Security Advisor to President of the US Ronald Reagan from 1983 through 1985","U.S. Politician"
"2119","Robert Mondavi","Leading California vineyard operator whose technical improvements and marketing strategies brought worldwide recognition for the wines of the Napa Valley in California","other"
"2120","Robert Mugabe","Zimbabwean revolutionary and politician who has governed the Republic of Zimbabwe as its President since 1987, having previously governed as its Prime Minister from 1980 to 1987","Non-U.S. Politician"
"2121","Robert Nardelli","businessman, former chariman and CEO of Chrysler","Business Leader"
"2122","Robert Osborne","American film historian and former actor best known as the primary host for Turner Classic Movies (TCM)","Acting Entertainer"
"2123","Robert Palmer","English singer-songwriter, musician, and record producer","Musical / Acting Entertainer"
"2124","Robert Pattinson","English actor, producer, model, and musician","Musical / Acting Entertainer"
"2125","Robert Rubin","American lawyer, former cabinet member, and retired banking executive","U.S. Politician"
"2126","Robert Shapiro","American civil litigator, co-founder of RightCounsel.com and senior partner in LA based law firm, most recognized as part of the ""dream team"" legal team that defended O.J. Simpson","Law Professional"
"2127","Robert Smith","English singer, songwriter, and musician","Musical Entertainer"
"2128","Robert Stack","American actor, sportsman, and television host","Acting Entertainer"
"2129","Robert Vaughn","American actor noted for his stage, film and television work","Acting Entertainer"
"2130","Robert Vesco","fugitive criminal United States financier","Criminal"
"2131","Roberto Benigni","Italian actor, comedian, screenwriter and director","Acting Entertainer"
"2132","Robin Antin","American dancer, choreographer, actress, and clothing designer entrepreneur","Musical / Acting Entertainer"
"2133","Robin Byrd","American former pornographic actress and the host of The Robin Byrd Show, which has appeared on Leased access cable television in New York City since 1977","Acting Entertainer"
"2134","Robin Gibb","British singer, songwriter and record producer, who gained worldwide fame as a member of the pop group the Bee Gees","Musical Entertainer"
"2135","Robin Leach","English entertainment reporter and writer, best known for hosting his first show, Lifestyles of the Rich and Famous, from 1984 to 1995","News Entertainer"
"2136","Robin Quivers","American radio personality, author, and actress, best known for being the long-running news anchor and co-host of The Howard Stern Show","News Entertainer"
"2137","Robin Thicke","American singer, songwriter and record producer","Musical Entertainer"
"2138","Robin Williams","American stand-up comedian and actor","Acting Entertainer"
"2139","Robyn","Swedish singer, songwriter and record producer","Musical Entertainer"
"2140","Rocsi","Honduran-born, American television personality and model","News Entertainer"
"2141","Rod Blagojevich","the 40th governor of Illinois but was impeached and removed from office for corruption.","U.S. Politician"
"2142","Rod Serling","American screenwriter, playwright, television producer, and narrator best known for the TV series, The Twilight Zone","Acting Entertainer"
"2143","Rod Stewart","British rock singer and songwriter","Musical Entertainer"
"2144","Roderick Richards","British former politician who was the conservative Member of Parliament for Clwyd North West, in Wales until 1997 when he lost his seat in the Labour Party landslide","U.S. Politician"
"2145","Rodney Allen Rippy","American former child actor","Acting Entertainer"
"2146","Rodney Dangerfield","American stand-up comedian, actor, producer and screenwriter known for the catchphrase ""I don't get no respect!"" and his monologues on that theme","Acting Entertainer"
"2147","Rodney Harrison","former professional football player of the National Football League","Athlete"
"2148","Roger Clemens","retired American baseball pitcher who played 24 seasons in Major League Baseball (MLB) for four teams","Athlete"
"2149","Roger Clinton","actor, musician, half brother of former president Bill Clinton","U.S. Political Family"
"2150","Roger Ebert","American film critic and historian, journalist, screenwriter, and author","News Entertainer"
"2151","Roger Goodell","American businessman who is currently the Commissioner of the National Football League (NFL)","Business Leader"
"2152","Roger Moore","English actor","Acting Entertainer"
"2153","Roger Smith","American television and film actor and screenwriter","Acting Entertainer"
"2154","Roland Burris","American politician who is a former United States Senator from the state of Illinois and a member of the Democratic Party","U.S. Politician"
"2155","Roland S. Martin","American journalist, syndicated columnist with Creators Syndicate, and author","News Entertainer"
"2156","Roman Polanski","French-Polish film director, producer, writer, and actor","Acting Entertainer"
"2157","Ron Artest","American professional basketball player for the Los Angeles Lakers of the National Basketball Association (NBA)","Athlete"
"2158","Ron Hendren","journalist and television personality","News Entertainer"
"2159","Ron Howard","American actor and filmmaker","Acting Entertainer"
"2160","Ron Jeremy","American pornographic actor and filmmaker","Other Entertainer"
"2161","Ron Klain","American political operative and lawyer who on October 17, 2014, was named for the newly created position of ""Ebola response coordinator""","Law Professional"
"2162","Ron Nessen","American government official who served as White House Press Secretary for President Gerald Ford from 1974 to 1977","U.S. Politician"
"2163","Ron Paul","American author, physician, and former politician","U.S. Politician"
"2164","Ron Popeil","American inventor and marketing personality, best known for his direct response marketing company Ronco","other"
"2165","Ron Silver","American actor, director, producer, radio host, and political activist","Acting Entertainer"
"2166","Ron Wood","English rock musician, singer, songwriter, artist and radio personality best known as a member of The Rolling Stones since 1975","Musical Entertainer"
"2167","Rona Barrett","American gossip columnist and businesswoman","News Entertainer"
"2168","Ronald Reagan","American politician and actor who was the 40th President of the United States, from 1981 to 1989","U.S. Politician"
"2169","Roone Arledge","American sports and news broadcasting executive who was president of ABC Sports","News Entertainer"
"2170","Ros Gentle","actress, performer, spokesperson for Monex","Acting Entertainer"
"2171","Rosalynn Carter","wife of the 39th President of the United States, Jimmy Carter, and in that capacity served as the First Lady of the United States from 1977 to 1981","U.S. Political Family"
"2172","Rosario Dawson","American actress","Acting Entertainer"
"2173","Rose Kennedy","American philanthropist and socialite, mother of President John F. Kennedy, Senator Robert F. Kennedy, and longtime Senator Ted Kennedy","U.S. Political Family"
"2174","Rose Marie","American actress","Acting Entertainer"
"2175","Rose Mary Woods","Richard Nixon's secretary from his days in Congress in 1951 through the end of his political career.","U.S. Politician"
"2176","Roseanne","character created by Roseanne Barr for the American sitcom ""Roseanne""","other"
"2177","Rosemary Clooney","American singer","Musical Entertainer"
"2178","Rosie McLelland","best known for her viral video of covering Nicki Minaj's song ""Super Bass"" with her cousin Sophia Grace","other"
"2179","Rosie O'Donnell","American comedian, actress, author, and television personality","Acting Entertainer"
"2180","Rosie Perez","American actress, community activist, talk show host, author, dancer, and choreographer","Musical / Acting Entertainer"
"2181","Rosie Pope","British American entrepreneur and businesswoman","Business Leader"
"2182","Ross Duffer","American writer and director of science fiction films, horror films, and TV shows with brother Matt. Best known for 2016 Netflix series ""Stranger Things""","Acting Entertainer"
"2183","Ross Perot","American businessman best known for being an independent presidential candidate in 1992 and the Reform Party presidential candidate in 1996","U.S. Politician"
"2184","Ross Rebagliati","Canadian professional snowboarder, Olympic Gold Medal Winner and founder of Ross' Gold, a Canadian medical cannabis branding company","Athlete"
"2185","Roxane Gilmore","best known as wife of US politician and 2016 presidential candidate Jim Gilmore","U.S. Political Family"
"2186","Roy Black","civil and criminal defense trial attorney, best known for gaining an acquittal in 1991, of William Kennedy Smith","Law Professional"
"2187","Roy Horn","German-American contemporary magician and entertainer, known for duo ""Siegfried & Roy"" and their performances with white lions and white tigers","Other Entertainer"
"2188","Roy Orbison","American singer-songwriter and musician, known for his distinctive, impassioned voice, complex compositions and dark emotional ballads","Musical Entertainer"
"2189","Royale Watkins","TV personality, game show host of MTV show ""Singled Out""","News Entertainer"
"2190","Ruben Studdard","American R&B, pop and gospel singer","Reality TV Star"
"2191","Rubin Carter","middleweight boxer who was wrongfully convicted of murder and later released following a petition of habeas corpus after spending almost 20 years in prison","Athlete"
"2192","Rudolph Giuliani","American lawyer, businessman, public speaker, former mayor of New York City, and current White House cyber security adviser","U.S. Politician"
"2193","Rudy Boesch","retired United States Navy SEAL and a two-time competitor on the reality competition show Survivor","Reality TV Star"
"2194","Rudy Galindo","American figure skater who competed in both single skating and pair skating","Athlete"
"2195","Rudy Rush","American comedian","Acting Entertainer"
"2196","Rula Lenska","English actress","Acting Entertainer"
"2197","RuPaul","American actor, drag queen, model, author, television personality, and recording artist","Acting Entertainer"
"2198","Rupert Murdoch","Australian-born American media mogul","News Entertainer"
"2199","Rush Limbaugh","American entertainer, radio talk show host, writer, and conservative political commentator","News Entertainer"
"2200","Russell Brand","English comedian, actor, radio host, author, and activist","Acting Entertainer"
"2201","Russell Crowe","actor, film producer and musician from New Zealand","Musical / Acting Entertainer"
"2202","Russell Hitchcock","Australian musician and singer of the soft rock duo Air Supply","Musical Entertainer"
"2203","Ruth Bader Ginsburg","Associate Justice of the Supreme Court of the United States","Law Professional"
"2204","Ruth Carter Stapleton","sister of Jimmy Carter and was known in her own right as a Christian evangelist","U.S. Political Family"
"2205","Ruth Clusen","American conservationist, politician, civil rights activist, and government official","U.S. Politician"
"2206","Ryan Lochte","American competitive swimmer, a 12-time Olympic medalist (six gold, three silver, three bronze), which ranks him second in swimming behind Michael Phelps","Athlete"
"2207","Ryan Seacrest","American radio personality, television host and producer","Acting Entertainer"
"2208","S.E. Cupp","American conservative political commentator and writer","News Entertainer"
"2209","Saddam Hussein","fifth President of Iraq, serving in this capacity from 16 July 1979 until 9 April 2003","Non-U.S. Politician"
"2210","Sally Field","American film and television actress and director","Acting Entertainer"
"2211","Sally Jessy Raphael","American former talk show host known for her talk show program Sally","News Entertainer"
"2212","Sally Kellerman","American actress, activist, author, producer, singer and voice-over artist","Musical / Acting Entertainer"
"2213","Sally Struthers","American actress, voice artist, spokeswoman","Acting Entertainer"
"2214","Salma Hayek","Mexican-American film actress, producer, and former model","Acting Entertainer"
"2215","Sam Donaldson","former American reporter and news anchor, serving with ABC News from 1967 to 2013","News Entertainer"
"2216","Sam Elliott","American actor","Acting Entertainer"
"2217","Sam Kinison","American stand-up comedian and actor","Acting Entertainer"
"2218","Sam Nunn","American lawyer and politician","U.S. Politician"
"2219","Sam Peckinpah","American film director and screenwriter who achieved prominence following the release of the Western epic The Wild Bunch","Acting Entertainer"
"2220","Sam Smith","English singer-songwriter","Musical Entertainer"
"2221","Sam Walton","American businessman and entrepreneur best known for founding the retailers Walmart and Sam's Club","Business Leader"
"2222","Sam Waterston","American actor, producer and director","Acting Entertainer"
"2223","Samantha Scheibe","best known as girlfriend of George Zimmerman","other"
"2224","Sammo Hung Kam-Bo","Hong Kong actor, martial artist, film producer and director, known for his work in many martial arts films and Hong Kong action cinema","Acting Entertainer"
"2225","Sammy Davis Jr.","American entertainer","Musical / Acting Entertainer"
"2226","Sammy Sosa","Dominican former professional baseball right fielder","Athlete"
"2227","Sammy Stephens","businessman, former radio personality, best known for viral commercial ""It's just like a mini-mall""","Other Entertainer"
"2228","Samuel Alito","Associate Justice of the Supreme Court of the United States","Law Professional"
"2229","Samuel Clemens","better known by his pen name, Mark Twain, was an American writer, humorist, entrepreneur, publisher, and lecturer ","Writer"
"2230","Samuel L. Jackson","American actor and film producer","Acting Entertainer"
"2231","Sandi Graham","best known as mother of musician, Drake","other"
"2232","Sandra Day O'Connor","retired associate justice of the Supreme Court of the United States, serving from her appointment in 1981 by Ronald Reagan until her retirement in 2006","Law Professional"
"2233","Sandra Good","long-time member of the Manson Family and a close friend of Lynette ""Squeaky"" Fromme","other"
"2234","Sandy Duncan","American singer, dancer, comedian and actress of stage and television","Musical / Acting Entertainer"
"2235","Sanjay Gandhi","Indian politician","Non-U.S. Politician"
"2236","Sanjaya Malakar","American singer, who was a finalist on the sixth season of American Idol","Reality TV Star"
"2237","Sara Gilbert","American actress, best known for her role as Darlene Conner on the ABC sitcom Roseanne","Acting Entertainer"
"2238","Sara Haines","American television host and journalist, known for her work as a correspondent on Today, ABC News and Good Morning America","News Entertainer"
"2239","Sarah Ferguson","Duchess of York, British writer, charity patron, public speaker, film producer, and TV personality","British Royal Family"
"2240","Sarah Hughes","American former figure skater","Athlete"
"2241","Sarah Koenig","American journalist, public radio personality, staff producer of the TV and radio program This American Life, and the host and executive producer of the podcast Serial","News Entertainer"
"2242","Sarah McLachlan","Canadian musician, singer-songwriter, pianist and guitarist","Musical Entertainer"
"2243","Sarah Palin","American politician, commentator, and author who served as the ninth Governor of Alaska from 2006 until her resignation in 2009","U.S. Politician"
"2244","Sarah Silverman","American stand-up comedian, actress, producer, and writer","Acting Entertainer"
"2245","Sasha Cohen","American figure skater","Athlete"
"2246","Savion Glover","American tap dancer, actor, and choreographer","Musical / Acting Entertainer"
"2247","Scarlett Johansson","American actress, model and singer","Musical / Acting Entertainer"
"2248","Scott Brown","American attorney and politician","U.S. Politician"
"2249","Scott Hamilton","Retired American figure skater and Olympic gold medalist","Athlete"
"2250","Scott Joplin","African-American composer and pianist","Musical Entertainer"
"2251","Scott McClellan","longest serving press secretary under George W. Bush","U.S. Politician"
"2252","Scott McCreery","American country music singer","Musical Entertainer"
"2253","Scott Stapp","American singer, songwriter, and musician, known as the lead vocalist and lyricist of hard rock bands Creed and Art of Anarchy","Musical Entertainer"
"2254","Scottie Nell Hughes","American journalist and political commentator","News Entertainer"
"2255","Seal","English singer and songwriter","Musical Entertainer"
"2256","Sean Connery","retired Scottish actor and producer","Acting Entertainer"
"2257","Sean Hannity","American radio and television host, author, and conservative political commentator","News Entertainer"
"2258","Sean Penn","American actor, filmmaker, and political activist","Acting Entertainer"
"2259","Sean Spicer","White House Press Secretary and Communications Director for U.S. President Donald Trump","U.S. Politician"
"2260","Sen. Paul Simon","American politician from Illinois","U.S. Politician"
"2261","Señor Wences","Spanish ventriloquist","Other Entertainer"
"2262","Serena Williams","American professional tennis player","Athlete"
"2263","Seth Rogen","Canadian-American actor, filmmaker, and comedian","Acting Entertainer"
"2264","Seymour Hersh","American investigative journalist and political writer based in Washington, D.C.","News Entertainer"
"2265","Shakira","Colombian singer, songwriter, dancer, and record producer","Musical Entertainer"
"2266","Shania Twain","Canadian singer and songwriter","Musical Entertainer"
"2267","Shanice Williams"," crowned Miss Turks and Caicos 2014 and represented the Islands at the Miss Universe 2014 Pageant","Other Entertainer"
"2268","Shannon Sharpe","TV presenter who appears on Skip and Shannon: Undisputed, and a former American football tight end as well as a former analyst for CBS Sports on its NFL telecasts","Athlete / News Entertainer"
"2269","Shannon Wiseman","reality TV contestant on MTV's ""Wanna Be a VJ?""","Reality TV Star"
"2270","Shaquille O'Neal","retired American professional basketball player and former rapper who is currently an analyst on the television program Inside the NBA","Athlete / News Entertainer"
"2271","Shari Lewis","American ventriloquist, puppeteer, and children's entertainer and television show host","Other Entertainer"
"2272","Sharon Osbourne","English television host, media personality, television talent competition judge, author, music manager, businesswoman, and promoter, and the wife of heavy metal singer-songwriter Ozzy Osbourne","News Entertainer"
"2273","Sharon Stone","American actress, film producer, and former fashion model","Acting Entertainer"
"2274","Shaun White","American professional snowboarder and skateboarder","Athlete"
"2275","Shawn Eckhardt","American former figure skater","Athlete"
