"","Character","Occupation","Category"
"239","Bob Dole","American politician who represented Kansas in the House of Representatives from 1961 to 1969 and in the United States Senate from 1969 to 1996, serving as Senate Republican Leader from 1985 until his resignation as a Senator","U.S. Politician"
"240","Bob Dylan","American songwriter, singer, artist, and writer","Musical Entertainer"
"241","Bob Guccione","founder of the adult magazine Penthouse in 1965","other"
"242","Bob Hope","American comedian, vaudevillian, actor, singer, dancer, athlete, and author","Musical / Acting Entertainer"
"243","Bob Ley","sports anchor and reporter for ESPN","News Entertainer"
"244","Bob Livingston","Washington, D.C.-based lobbyist and a former Republican U.S. Representative from Louisiana","U.S. Politician"
"245","Bob Marley","Jamaican singer-songwriter, musician and guitarist who achieved international fame and acclaim, blending mostly reggae, ska and rocksteady in his compositions","Musical Entertainer"
"246","Bob Packwood","U.S. politician from Oregon and a member of the Republican Party","U.S. Politician"
"247","Bob Schieffer","American television journalist","News Entertainer"
"248","Bob Vila","American home improvement television show host known for This Old House (1979–1989), Bob Vila's Home Again (1990–2005), and Bob Vila (2005–2007)","Acting Entertainer"
"249","Bobbi Kristina Brown","American reality television and media personality, singer, and actress","Reality TV Star"
"250","Bobbi McCaughey","best known as mother of septuplets born in 1997","other"
"251","Bobbie Battista","American journalist and a former prominent news caster with CNN","News Entertainer"
"252","Bobby Brown","American singer, songwriter, rapper, dancer and actor","Musical / Acting Entertainer"
"253","Bobby Jindal","American politician who was the 55th Governor of Louisiana between 2008 and 2016, and previously served as a U.S. Congressman and as the vice chairman of the Republican Governors Association","U.S. Politician"
"254","Bobby Kennedy","American politician from Massachusetts","U.S. Politician"
"255","Bobby Knight","retired American basketball coach","Athlete"
"256","Bobby Rondinelli","rock drummer best known for his work with the hard rock/heavy metal bands like Blue Öyster Cult, Rainbow, Quiet Riot, Black Sabbath, The Lizards, and Rondinelli","Musical Entertainer"
"257","Bobcat Goldthwait","American comedian, filmmaker, actor and voice artist, known for his acerbic black comedy, delivered through an energetic stage persona with an unusual gruff and high-pitched voice","Acting Entertainer"
"258","Bono","Irish singer-songwriter, musician, venture capitalist, businessman, and philanthropist","Musical Entertainer"
"259","Boogie","actor, known for iCarly, Step Up 2: The Streets, and Universal Remote.","Acting Entertainer"
"260","Boris Yeltsin","Soviet and Russian politician and the first President of the Russian Federation, serving from 1991 to 1999","Non-U.S. Politician"
"261","Boy George","English singer, songwriter, DJ, fashion designer and photographer","Musical Entertainer"
"262","Boyd Tinsley","American violinist and mandolinist who performs as a member of the Dave Matthews Band","Musical Entertainer"
"263","Brad Paisley","American country music singer and songwriter","Musical Entertainer"
"264","Brad Pitt","American actor and producer","Acting Entertainer"
"265","Brenda Chevis","known as a guest on Oprah and twin to Aidan Key","other"
"266","Brent Musburger","American sportscaster, recently retired from the ESPN and ABC television networks","News Entertainer"
"267","Brent Perry","Houston lawyer","Law Professional"
"268","Bret Michaels","American singer-songwriter and musician","Musical Entertainer"
"269","Brett Favre","former American football quarterback who spent the majority of his career with the Green Bay Packers of the National Football League (NFL)","Athlete"
"270","Brett Somers","Canadian-American actress, singer, and game show personality","Musical / Acting Entertainer"
"271","Brian Boitano","American figure skater from Sunnyvale, California","Athlete"
"272","Brian Dawkins","former American football safety who played in the National Football League (NFL) for sixteen seasons","Athlete"
"273","Brian Grazer","American film and television producer","Acting Entertainer"
"274","Brian Kato Kaelin","American radio and TV personality who gained fame as a witness during the 1994-95 murder trial of O.J. Simpson","News Entertainer"
"275","Brian Kilmeade","Fox News Channel television personality","News Entertainer"
"276","Brian Setzer","American guitarist, singer, and songwriter","Musical Entertainer"
"277","Brian Williams","American journalist at NBC News, currently serving as chief anchor of breaking news coverage for MSNBC and host of the network's nightly wrap-up program, The 11th Hour with Brian Williams","News Entertainer"
"278","Brian Wilson","American musician, singer, songwriter, and record producer best known for being the multi-tasking leader and co-founder of the rock band the Beach Boys","Musical / Acting Entertainer"
"279","Brigitte Bardot","French actress, singer and fashion model, who later became an animal rights activist","Musical / Acting Entertainer"
"280","Brigitte Boisselier","French chemist and Raelian relgious leader best known for her claim to have overseen the creation of the first human clone.","Religious Figure"
"281","Brigitte Nielsen","naturalised-Italian, Danish-born actress, model, singer and reality television personality who began her career modelling","Musical / Acting Entertainer"
"282","Brit Hume","American television journalist and political commentator","News Entertainer"
"283","Britney Spears","American singer, dancer and actress","Musical / Acting Entertainer"
"284","Britt Ekland","Swedish film, stage, and television actress, and singer","Musical / Acting Entertainer"
"285","Brittany Murphy","American film and stage actress, singer, and voice artist","Musical / Acting Entertainer"
"286","Brittny Kissinger","actress, best known for playing Annie on Broadway as a child","Musical / Acting Entertainer"
"287","Brooke Baldwin","American TV news anchor","News Entertainer"
"288","Brooke Hogan","American reality television star, actress, singer, and media personality","Reality TV Star"
"289","Brooke Shields","American actress, model and former child star","Acting Entertainer"
"290","Bruce Arians","American football coach who is the current head coach of the Arizona Cardinals of the National Football League (NFL)","Athlete"
"291","Bruce Babbitt","American politician from the state of Arizona","U.S. Politician"
"292","Bruce Jenner","American television personality and retired Olympic gold medal-winning decathlete","Athlete / News Entertainer"
"293","Bruce Jessen","psychologist, Air Force retiree, former Mormon bishop who co-created the so-called ""enhanced interrogation techniques"" that were used in the interrogation of CIA detainees","other"
"294","Bruce Johnson","best known as the inventor of ""Breathe Right"" strips","Inventor"
"295","Bruce Lee","Hong Kong and American actor, martial artist, philosopher, filmmaker and founder of the martial art Jeet Kune Do.","Acting Entertainer"
"296","Bruce Lindsey","American lawyer and non-profit executive","Law Professional"
"297","Bruce Springsteen","American singer-songwriter","Musical Entertainer"
"298","Bruce Vilanch","American comedy writer, songwriter and actor","Musical / Acting Entertainer"
"299","Bruno Mars","American singer-songwriter, multi-instrumentalist, record producer, and choreographer","Musical / Acting Entertainer"
